accuracy	proportion	density	fuzziness	coverage	purity	sounds	missing	csetsize	clusters	props	patterns	predicted	predictable	removed
163	0.5483	0.5701	0.3518	0.7987	0.0806	0.7495	35.6250	0.1787	3.2941	172.0000	0.2340	739.0000	0.4492	442.0000	984.0000
164	0.5167	0.5668	0.3534	0.7971	0.0753	0.7483	35.5000	0.1558	3.3476	177.0000	0.2357	757.0000	0.4736	466.0000	984.0000
165	0.5232	0.5882	0.3754	0.7853	0.0788	0.7659	34.6250	0.1542	3.3533	169.0000	0.2112	804.0000	0.5091	501.0000	984.0000
166	0.5302	0.5866	0.3649	0.7941	0.0848	0.7589	35.6250	0.1586	3.4674	177.0000	0.2305	770.0000	0.4522	445.0000	984.0000
167	0.5565	0.5800	0.3588	0.8062	0.0852	0.7659	35.5000	0.1370	3.3481	163.0000	0.2221	738.0000	0.4583	451.0000	984.0000
168	0.5203	0.5723	0.3493	0.7800	0.0802	0.7575	35.5000	0.1579	3.2522	180.0000	0.2305	784.0000	0.4634	456.0000	984.0000
169	0.5563	0.5882	0.3609	0.8006	0.0805	0.7680	35.7500	0.1409	3.2671	172.0000	0.2161	800.0000	0.4909	483.0000	984.0000
170	0.5239	0.5756	0.3607	0.8005	0.0790	0.7570	36.0000	0.1548	3.2656	178.0000	0.2383	751.0000	0.4898	482.0000	984.0000
171	0.5188	0.5789	0.3549	0.7958	0.0710	0.7737	35.6250	0.1567	3.3264	170.0000	0.2252	761.0000	0.4858	478.0000	984.0000
172	0.4967	0.5772	0.3471	0.7946	0.0696	0.7470	35.5000	0.1832	3.4398	175.0000	0.2407	731.0000	0.4644	457.0000	984.0000
173	0.5425	0.5816	0.3562	0.7982	0.0816	0.7426	36.3750	0.1667	3.3666	180.0000	0.2416	747.0000	0.4685	461.0000	984.0000
174	0.5202	0.5717	0.3543	0.7874	0.0853	0.7629	35.0000	0.1488	3.2770	168.0000	0.2219	759.0000	0.4807	473.0000	984.0000
175	0.5269	0.5745	0.3516	0.7984	0.0764	0.7468	35.6250	0.1772	3.2457	174.0000	0.2351	746.0000	0.4715	464.0000	984.0000
176	0.5092	0.5767	0.3559	0.7979	0.0792	0.7599	36.6250	0.1666	3.3024	174.0000	0.2266	774.0000	0.4705	463.0000	984.0000
177	0.5251	0.5778	0.3746	0.7921	0.0797	0.7662	35.1250	0.1655	3.3168	172.0000	0.2284	756.0000	0.4715	464.0000	984.0000
